date,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_80m,wind_direction_80m,wind_gusts_10m,location
2026-09-08 22:00:00+00:00,13.6545,89.0,0.3,999.6896,100.0,19.590725,231.17992,17.28,Aalborg
2026-09-08 23:00:00+00:00,13.4545,91.0,0.0,999.2891,100.0,19.825775,233.63704,16.199999,Aalborg
2026-09-09 00:00:00+00:00,13.1545,91.0,0.1,999.5872,100.0,20.61057,239.28725,15.4800005,Aalborg
2026-09-09 01:00:00+00:00,12.7545,91.0,0.3,999.78503,100.0,19.70743,235.88548,19.44,Aalborg
2026-09-09 02:00:00+00:00,12.6045,92.0,0.1,999.5847,98.0,18.831278,236.0138,22.68,Aalborg
2026-09-09 03:00:00+00:00,12.4045,92.0,0.0,999.4839,97.0,19.716017,240.69789,23.039999,Aalborg
2026-09-09 04:00:00+00:00,12.304501,92.0,0.0,999.78326,95.0,21.032618,242.15251,19.44,Aalborg
2026-09-09 05:00:00+00:00,11.9545,94.0,0.0,999.8815,78.0,23.695127,243.62473,19.8,Aalborg
2026-09-09 06:00:00+00:00,12.5045,94.0,0.0,1000.3833,42.0,23.246624,245.9497,23.759998,Aalborg
2026-09-09 07:00:00+00:00,13.6045,93.0,0.0,1000.68805,49.0,20.720787,248.64896,24.84,Aalborg
2026-09-09 08:00:00+00:00,14.804501,90.0,0.0,1000.893,64.0,22.128017,255.30263,25.56,Aalborg
2026-09-09 09:00:00+00:00,16.0045,88.0,0.0,1001.09814,70.0,23.198908,262.1764,25.56,Aalborg
2026-09-09 10:00:00+00:00,16.7545,84.0,0.0,1001.2014,91.0,22.18983,265.0107,28.44,Aalborg
2026-09-09 11:00:00+00:00,17.2545,83.0,0.0,1001.4033,93.0,24.416145,262.5687,34.2,Aalborg
2026-09-09 12:00:00+00:00,17.7545,71.0,0.0,1001.7052,82.0,25.757198,260.98688,36.36,Aalborg
2026-09-09 13:00:00+00:00,17.7545,68.0,0.0,1001.90497,43.0,28.702408,274.90897,36.36,Aalborg
2026-09-09 14:00:00+00:00,17.7045,66.0,0.0,1002.4043,19.0,30.846958,275.54837,38.16,Aalborg
2026-09-09 15:00:00+00:00,17.3545,69.0,0.0,1002.7024,47.0,32.46444,271.23862,39.96,Aalborg
2026-09-09 16:00:00+00:00,16.9545,67.0,0.0,1003.1,15.0,36.34878,278.32556,39.96,Aalborg
2026-09-09 17:00:00+00:00,15.9545,72.0,0.0,1003.39514,5.0,36.388138,273.59348,37.8,Aalborg
2026-09-09 18:00:00+00:00,14.6045,74.0,0.0,1003.8882,0.0,32.65304,261.34753,30.599998,Aalborg
2026-09-09 19:00:00+00:00,13.1545,77.0,0.0,1004.18115,1.0,30.981373,256.9081,25.56,Aalborg
2026-09-09 20:00:00+00:00,12.4045,82.0,0.0,1004.4773,3.0,33.400486,260.93356,24.84,Aalborg
2026-09-09 21:00:00+00:00,12.3545,87.0,0.0,1004.8766,5.0,24.57322,326.65027,25.199999,Aalborg
2026-09-09 22:00:00+00:00,12.4545,90.0,0.0,1005.57623,0.0,22.694551,340.58444,24.84,Aalborg
2026-09-09 23:00:00+00:00,12.2545,81.0,0.0,1006.1745,0.0,17.692745,337.249,16.199999,Aalborg
2026-09-10 00:00:00+00:00,11.9545,84.0,0.0,1007.1719,1.0,17.164694,319.1447,15.4800005,Aalborg
2026-09-10 01:00:00+00:00,11.4045,84.0,0.0,1007.86816,10.0,17.072092,309.57938,15.119999,Aalborg
2026-09-10 02:00:00+00:00,10.9545,85.0,0.0,1008.2657,23.0,18.220695,308.74597,11.879999,Aalborg
2026-09-10 03:00:00+00:00,10.6045,88.0,0.0,1008.66364,22.0,18.00915,312.23608,10.440001,Aalborg
